t, y, yd
1.060000000000000053e+00,3.180583956905386200e-01,-8.772768112410241903e-01
1.070000000000000062e+00,3.092979369326388506e-01,-8.747898745551775379e-01
1.080000000000000071e+00,3.005630958766958294e-01,-8.721536001084840839e-01
1.090000000000000080e+00,2.918553558292292793e-01,-8.693699986097668253e-01
1.100000000000000089e+00,2.831761799682083192e-01,-8.664410899341540295e-01
1.110000000000000098e+00,2.745270112345700730e-01,-8.633689027533567595e-01
1.120000000000000107e+00,2.659092722489397875e-01,-8.601554740360058959e-01
1.130000000000000115e+00,2.573243652336698051e-01,-8.568028485499746827e-01
1.140000000000000124e+00,2.487736719401976715e-01,-8.533130783666873498e-01
1.150000000000000133e+00,2.402585535817232387e-01,-8.496882223674158130e-01
1.159999999999999920e+00,2.317803506871028429e-01,-8.459303460277304287e-01
1.169999999999999929e+00,2.233403829738631885e-01,-8.420415211586173010e-01
1.179999999999999938e+00,2.149399495381231762e-01,-8.380238246264101187e-01
1.189999999999999947e+00,2.065803286925017856e-01,-8.338793382480920169e-01
1.199999999999999956e+00,1.982627779173464222e-01,-8.296101483339376470e-01
1.209999999999999964e+00,1.899885338211494690e-01,-8.252183452194354896e-01
1.219999999999999973e+00,1.817588121060812190e-01,-8.207060227998622670e-01
1.229999999999999982e+00,1.735748075386393252e-01,-8.160752780675090134e-01
1.239999999999999991e+00,1.654376939218387410e-01,-8.113282106602311972e-01
1.250000000000000000e+00,1.573486238638151236e-01,-8.064669229188351496e-01
1.260000000000000009e+00,1.493087289478943480e-01,-8.014935189858174436e-01
1.270000000000000018e+00,1.413191198057826281e-01,-7.964101041541330472e-01
1.280000000000000027e+00,1.333808860197064350e-01,-7.912187846458880180e-01
1.290000000000000036e+00,1.254950961186419300e-01,-7.859216671778895824e-01
1.300000000000000044e+00,1.176627975794041908e-01,-7.805208585304702629e-01
1.310000000000000053e+00,1.098850168325967297e-01,-7.750184651195844987e-01
1.320000000000000062e+00,1.021627592734208334e-01,-7.694165925721804244e-01
1.330000000000000071e+00,9.449700923043628797e-02,-7.637173453823830060e-01
1.340000000000000080e+00,8.688872973310129977e-02,-7.579228269116002892e-01
1.350000000000000089e+00,7.933886293755036678e-02,-7.520351383118785149e-01
1.360000000000000098e+00,7.184833004689025748e-02,-7.460563782961187052e-01
1.370000000000000107e+00,6.441803130173096026e-02,-7.399886428035027386e-01
1.380000000000000115e+00,5.704884601397666732e-02,-7.338340246047185822e-01
1.390000000000000124e+00,4.974163260517224655e-02,-7.275946129109620575e-01
1.400000000000000133e+00,4.249722864940583961e-02,-7.212724929867150303e-01
1.409999999999999920e+00,3.531645092076714926e-02,-7.148697457662996912e-01
1.419999999999999929e+00,2.820009528371496613e-02,-7.083884476684790821e-01
1.429999999999999938e+00,2.114893666848653361e-02,-7.018306703181063089e-01
1.439999999999999947e+00,1.416372951994885818e-02,-6.951984797080303924e-01
1.449999999999999956e+00,7.245207665239897926e-03,-6.884939360687651888e-01
1.459999999999999964e+00,3.940843730253287824e-04,-6.817190935171234534e-01
1.469999999999999973e+00,-6.388947578882090556e-03,-6.748759997040504333e-01
1.479999999999999982e+00,-1.310321583169452714e-02,-6.679666954666526602e-01
1.489999999999999991e+00,-1.974806836961270906e-02,-6.609932144844198332e-01
1.500000000000000000e+00,-2.632287342173667000e-02,-6.539575829246274674e-01
1.510000000000000009e+00,-3.282701982253496270e-02,-6.468618194812814082e-01
1.520000000000000018e+00,-3.925991639456611476e-02,-6.397079345991709687e-01
1.530000000000000027e+00,-4.562099195132975071e-02,-6.324979302274007509e-01
1.540000000000000036e+00,-5.190969526860586547e-02,-6.252337995541459303e-01
1.550000000000000044e+00,-5.812549499147433990e-02,-6.179175266950260870e-01
1.560000000000000053e+00,-6.426787953726534330e-02,-6.105510863857896986e-01
1.570000000000000062e+00,-7.033635699448374801e-02,-6.031364436793476003e-01
